polarity	name	chemical formula	neutral mass	rt (min)	protocol	file	group	area	height	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_9.mzML	R2A_I09	227648.972	8439.914	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_9.mzML	R2A_I09	25677.314	1560.51	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_9.mzML	R2A_I09	21389.066	899.059	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_10.mzML	R2A_I10	2881.619	309.458	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_10.mzML	R2A_I10	4310.329	338.253	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_10.mzML	R2A_I10	4900.175	419.031	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_11.mzML	R2A_I11	50852.106	2291.103	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_11.mzML	R2A_I11	13198.631	791.112	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_11.mzML	R2A_I11	19731.537	1130.539	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_12.mzML	R2A_I12	3224.757	281.696	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_12.mzML	R2A_I12	4665.999	376.292	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_12.mzML	R2A_I12	5484.445	385.098	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_13.mzML	R2A_I13	29156.51	1341.869	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_13.mzML	R2A_I13	41700.246	2130.281	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_14.mzML	R2A_I14	184506.887	4641.557	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_14.mzML	R2A_I14	141776.184	4052.74	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_14.mzML	R2A_I14	172046.375	4633.906	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_15.mzML	R2A_I15	38662.058	1885.381	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_15.mzML	R2A_I15	5713.167	468.77	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_15.mzML	R2A_I15	7387.558	618.693	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep1 Isolate_16.mzML	R2A_I16	38726.611	1333.464	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep2 Isolate_16.mzML	R2A_I16	110293.675	3409.01	
neg	guanine	C5H5N5O	151.0494098	8.42	WoM	140707 Neg R2A Rep3 Isolate_16.mzML	R2A_I16	25112.576	1285.255	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Ext Blank_2.mzML	M94_bla	4311.013	273.714	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Ext Blank_3.mzML	M94_bla	2722.545	393.634	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Ext Blank_1.mzML	M94_bla	2953.218	409.023	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep1 Control.mzML	M94_ctr	15479.691	994.054	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep2 Control.mzML	M94_ctr	4441.455	502.541	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep3 Control.mzML	M94_ctr	44760.623	2138.934	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep1 Isolate_1.mzML	M94_I01	6116.624	835.585	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep2 Isolate_1.mzML	M94_I01	11477.73	883.578	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep3 Isolate_1.mzML	M94_I01	1414.447	221.054	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep1 Isolate_2.mzML	M94_I02	27090.539	1348.715	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep2 Isolate_2.mzML	M94_I02	62821.503	2825.857	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep3 Isolate_2.mzML	M94_I02	32055.956	1607.897	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep1 Isolate_3.mzML	M94_I03	14622.005	838.442	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep2 Isolate_3.mzML	M94_I03	182520.452	5315.947	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep3 Isolate_3.mzML	M94_I03	4854.193	472.668	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep1 Isolate_4.mzML	M94_I04	65500.473	2721.075	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep2 Isolate_4.mzML	M94_I04	51061.618	2561.685	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep3 Isolate_4.mzML	M94_I04	14991.012	962.305	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep1 Isolate_5.mzML	M94_I05	284116.289	7524.409	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep2 Isolate_5.mzML	M94_I05	225842.708	7070.104	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep3 Isolate_5.mzML	M94_I05	109181.951	3504.952	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep1 Isolate_6.mzML	M94_I06	7338.899	585.78	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep2 Isolate_6.mzML	M94_I06	5114.719	296.137	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep3 Isolate_6.mzML	M94_I06	4124.571	452.537	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep1 Isolate_7.mzML	M94_I07	3163.411	327.362	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep2 Isolate_7.mzML	M94_I07	17341.449	832.346	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep3 Isolate_7.mzML	M94_I07	88943.834	2956.783	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep1 Isolate_8.mzML	M94_I08	37319.911	1542.401	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep2 Isolate_8.mzML	M94_I08	12539.785	764.882	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep3 Isolate_8.mzML	M94_I08	16406.132	1276.163	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep1 Isolate_9.mzML	M94_I09	29334.471	1286.683	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep2 Isolate_9.mzML	M94_I09	53179.276	1861.617	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep3 Isolate_9.mzML	M94_I09	13907.802	804.945	
neg	xanthine	C5H4N4O2	152.0334254	6.9	WoM	140714 Neg M94 Rep1 Isolate_10.mzML	M94_I10	9367.005	570.984	
