	rt (min)		(+)	(-)	neutral mass	formula	name		area	polarity	group	group
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		SE_C_1	60780	both	SE_C	SE_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		SE_C_2	64859	both	SE_C	SE_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		SE_C_3	52232	both	SE_C	SE_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		SE_C_4	43473	both	SE_C	SE_Ctr
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		SE_S_1	97823	both	SE_S	SE_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		SE_S_2	81617	both	SE_S	SE_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		SE_S_3	86223	both	SE_S	SE_Syn
7	6.2	0.16	146.0603	144.0457	145.053	(C9H7NO)		SE_S_4	90468	both	SE_S	SE_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	Min_C_1	0	pos	Min_C	Min_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	Min_C_2	0	pos	Min_C	Min_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	Min_C_3	0	pos	Min_C	Min_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	Min_C_4	247	pos	Min_C	Min_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	Min_S_1	16976	pos	Min_S	Min_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	Min_S_2	15738	pos	Min_S	Min_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	Min_S_3	17872	pos	Min_S	Min_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	Min_S_4	23090	pos	Min_S	Min_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	MEBM_C_1	114	pos	MEBM_C	MEBM_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	MEBM_C_2	0	pos	MEBM_C	MEBM_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	MEBM_C_3	0	pos	MEBM_C	MEBM_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	MEBM_C_4	146	pos	MEBM_C	MEBM_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	MEBM_S_1	20483	pos	MEBM_S	MEBM_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	MEBM_S_2	14018	pos	MEBM_S	MEBM_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	MEBM_S_3	19920	pos	MEBM_S	MEBM_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	MEBM_S_4	14538	pos	MEBM_S	MEBM_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	YE_C_1	1266	pos	YE_C	YE_Ctr
